                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5398,                 4.6178,                 1.8189,                0.03414,                0.11111,                 0.0148,                0.00589,                 2.6976,                 5.0126,                 1.6204,                  4e-05,                  4e-05,                  4e-05
                      2,                  2.782,                  4.319,                 1.8447,                0.03336,                0.11111,                0.01472,                0.00613,                 2.6342,                 5.0473,                 1.6123,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 2.6946,                 4.1706,                 1.7137,                0.43387,                0.11111,                0.15065,                0.06649,                 2.1165,                 2.5297,                 1.3829,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.9851,                 3.3608,                 1.2588,                0.40099,                0.18598,                0.24628,                0.12583,                 1.9184,                 6.4794,                 1.2359,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.7516,                 1.5993,                 1.2034,                0.24566,                0.35185,                0.33396,                0.17364,                  1.701,                 10.952,                  1.154,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.5932,                 1.4961,                 1.0761,                0.33679,                0.48148,                0.28484,                 0.1217,                 1.8671,                 3.6481,                 1.2603,             0.00032317,             0.00032317,             0.00032317
                      7,                  1.628,                 1.3176,                 1.0922,                0.39622,                0.64815,                0.56052,                0.25289,                 1.7509,                 4.7519,                 1.1236,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.5793,                 1.1145,                  1.076,                0.59142,                0.44444,                0.51579,                0.24155,                 1.7395,                 2.0916,                 1.0892,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.4261,                 1.1672,                 1.0537,                0.28115,                0.74074,                0.25496,                0.12674,                 1.6202,                 6.2405,                 1.0724,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.5779,                  1.136,                 1.1348,                0.18869,                0.75926,                 0.1788,                 0.0887,                 1.5059,                 19.822,                 1.0535,             0.00052832,             0.00052832,             0.00052832
                     11,                  1.418,                0.98722,                 1.0535,                0.10739,                0.72222,                0.12218,                0.06616,                 1.6688,                 19.707,                 1.1056,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.5069,                0.95741,                 1.0819,                0.18121,                0.75926,                0.20266,                0.10217,                  1.695,                  9.228,                 1.1061,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.3712,                0.81655,                 1.0283,                0.18703,                0.72222,                0.16979,                0.08343,                 1.4995,                 7.5282,                 1.0636,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.4323,                0.88559,                 1.0378,                0.12118,                0.72222,                0.11897,                0.06197,                 1.4998,                 9.3609,                 1.0817,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.4728,                0.91277,                 1.0506,                0.16515,                0.62963,                0.14793,                0.08404,                 1.5137,                 6.7831,                 1.0877,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.3769,                0.87297,                 1.0558,                0.27052,                0.59259,                 0.2338,                0.11757,                 1.5832,                 2.6083,                 1.0862,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.4448,                 0.9093,                 1.0894,                0.30283,                0.38889,                0.25326,                0.12995,                 1.6997,                 1.8624,                 1.1333,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3236,                0.77817,                 1.0514,                0.72953,                0.59948,                 0.6653,                0.35621,                 1.6557,                 1.6262,                 1.1277,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.3873,                0.80449,                 1.0856,                0.65318,                0.33333,                0.41158,                0.21305,                 1.8548,                 2.3165,                 1.2031,             0.00092042,             0.00092042,             0.00092042
                     20,                  1.372,                0.83701,                 1.0661,                0.69729,                0.55456,                0.55913,                0.27692,                 1.7654,                 2.0099,                 1.1636,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.4702,                 0.8323,                 1.0513,                 0.5136,                0.18519,                0.21079,                0.10762,                 2.1084,                 3.1629,                 1.2782,             0.00099448,             0.00099448,             0.00099448
                     22,                 1.3695,                0.85739,                 1.0866,                0.51502,                0.43274,                0.41159,                0.19139,                 1.9536,                 2.0526,                 1.2222,              0.0010297,              0.0010297,              0.0010297
                     23,                 1.3634,                0.82507,                 1.0342,                0.65596,                0.64815,                0.69409,                0.36718,                 1.5803,                 1.4554,                 1.1367,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.3501,                0.77661,                 1.0257,                 0.7659,                 0.5454,                0.73956,                0.36955,                 1.5276,                 1.3685,                 1.0961,              0.0010967,              0.0010967,              0.0010967
                     25,                 1.3751,                0.73772,                 1.0246,                0.73325,                 0.7037,                0.78004,                0.41326,                 1.4745,                  1.075,                 1.0964,              0.0011284,              0.0011284,              0.0011284
                     26,                 1.3621,                0.74087,                  1.048,                0.79283,                 0.7963,                0.84566,                0.45264,                 1.5066,                 1.3435,                 1.0974,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.3219,                0.73971,                0.99241,                0.67497,                0.90741,                0.85953,                0.48639,                 1.4189,                 1.3253,                 1.1015,              0.0011882,              0.0011882,              0.0011882
                     28,                  1.385,                0.77232,                 1.0392,                0.73918,                0.83333,                0.85498,                0.46885,                 1.3851,                0.98719,                 1.0852,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.3053,                 0.7756,                 1.0303,                0.73918,                0.83333,                0.85498,                0.46885,                 1.3851,                0.98719,                 1.0852,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.3292,                0.75694,                 1.0113,                0.72115,                0.81481,                0.83547,                0.46086,                 1.3946,                 1.0719,                 1.0762,               0.001269,               0.001269,               0.001269
                     31,                 1.2994,                0.74227,                 1.0056,                0.75463,                0.83333,                0.84454,                0.45473,                 1.4119,                 1.7712,                 1.0706,              0.0012935,              0.0012935,              0.0012935
                     32,                 1.2934,                0.78075,                 1.0251,                0.59795,                0.74366,                0.68168,                0.39669,                 1.3974,                 2.1229,                 1.0757,              0.0013169,              0.0013169,              0.0013169
                     33,                 1.2627,                0.71345,                 1.0182,                0.59795,                0.74366,                0.68168,                0.39669,                 1.3974,                 2.1229,                 1.0757,              0.0013391,              0.0013391,              0.0013391
                     34,                 1.3063,                0.74634,                 1.0227,                 0.5339,                0.77778,                0.64795,                0.34897,                 1.4644,                 2.0261,                 1.1402,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2675,                0.73074,                 1.0146,                0.81242,                0.81481,                0.83722,                0.45542,                 1.4426,                 1.3172,                 1.1356,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2848,                0.73633,                 1.0028,                0.84782,                0.87037,                0.89357,                0.46987,                  1.487,                 1.0109,                 1.1384,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3969,                0.79286,                 1.0501,                0.84782,                0.87037,                0.89357,                0.46987,                  1.487,                 1.0109,                 1.1384,               0.001307,               0.001307,               0.001307
                     38,                 1.3193,                0.76429,                   1.05,                0.49539,                0.77778,                0.59542,                0.29949,                 1.5281,                   1.86,                 1.1344,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3446,                 0.7345,                 1.0251,                0.28012,                0.59091,                0.35051,                0.20058,                 1.4148,                 3.4552,                 1.1127,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.325,                0.78417,                 1.0385,                0.56437,                0.75926,                0.68222,                0.37706,                 1.4252,                 1.7927,                 1.1248,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2977,                0.72845,                 1.0094,                0.56437,                0.75926,                0.68222,                0.37706,                 1.4252,                 1.7927,                 1.1248,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3712,                0.75927,                  1.054,                0.82675,                0.79536,                0.84451,                0.44547,                 1.5068,                 1.1544,                 1.1522,               0.001208,               0.001208,               0.001208
                     43,                 1.2722,                0.72508,                 1.0255,                0.86171,                0.85185,                  0.893,                0.47293,                 1.4707,                0.99043,                 1.1329,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2774,                0.71332,                 1.0307,                 0.8179,                0.91498,                0.91866,                0.49351,                 1.4147,                0.95471,                 1.0943,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2816,                0.74208,                 1.0332,                 0.8179,                0.91498,                0.91866,                0.49351,                 1.4147,                0.95471,                 1.0943,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2826,                0.71352,                0.99163,                0.85601,                0.87037,                0.91433,                0.51181,                 1.3738,                0.93812,                 1.0623,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2274,                0.69446,                 1.0166,                0.90337,                0.86567,                0.92035,                0.50453,                 1.4179,                0.83847,                 1.0997,               0.001109,               0.001109,               0.001109
                     48,                 1.2889,                0.69283,                0.97732,                0.90381,                0.85185,                0.91823,                0.49477,                 1.4545,                0.82541,                 1.1347,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3415,                0.70687,                 1.0216,                0.90381,                0.85185,                0.91823,                0.49477,                 1.4545,                0.82541,                 1.1347,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2175,                0.67259,                0.99313,                0.92678,                0.85185,                0.92368,                0.48281,                 1.4519,                0.81427,                 1.1582,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2426,                0.68788,                  1.017,                0.92125,                0.83333,                0.90705,                0.49125,                 1.4079,                0.77885,                 1.1329,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2957,                0.68274,                 1.0428,                0.86444,                0.82668,                0.88531,                 0.4802,                 1.4555,                0.82925,                 1.1225,                0.00101,                0.00101,                0.00101
                     53,                 1.2665,                0.67709,                 1.0016,                0.86444,                0.82668,                0.88531,                 0.4802,                 1.4555,                0.82925,                 1.1225,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2502,                0.66652,                 1.0419,                0.87143,                0.88889,                0.90529,                0.46269,                 1.4871,                0.85352,                 1.0932,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2793,                0.67574,                0.99908,                0.87095,                0.87037,                0.91946,                0.48794,                 1.3998,                 0.8629,                 1.0767,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2206,                0.70297,                 1.0082,                0.95327,                0.83333,                0.90697,                0.51561,                 1.3752,                0.85748,                 1.0905,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.249,                0.65806,                 1.0224,                0.95327,                0.83333,                0.90697,                0.51561,                 1.3752,                0.85748,                 1.0905,               0.000911,               0.000911,               0.000911
                     58,                 1.2525,                0.65469,                0.98986,                0.87312,                0.89209,                 0.9118,                0.53047,                 1.3325,                0.85102,                 1.0844,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2499,                0.71052,                 1.0662,                0.90558,                0.88889,                0.92782,                0.55527,                 1.3454,                0.77141,                 1.1051,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2244,                0.64726,                 1.0109,                0.91311,                0.88889,                0.92531,                0.55268,                 1.3359,                0.73533,                 1.1001,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2299,                0.62281,                0.99299,                0.91311,                0.88889,                0.92531,                0.55268,                 1.3359,                0.73533,                 1.1001,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2514,                0.64501,                 1.0049,                0.91574,                0.85185,                0.91833,                0.53596,                 1.2888,                0.76856,                 1.0839,               0.000812,               0.000812,               0.000812
                     63,                 1.2206,                0.65424,                0.99755,                 0.8793,                 0.8095,                0.90216,                0.51949,                 1.2929,                0.81274,                 1.0667,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2249,                0.63642,                 1.0103,                0.84476,                0.81481,                0.90514,                0.48984,                 1.3339,                0.83061,                 1.0663,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2017,                0.63748,                0.99877,                0.84476,                0.81481,                0.90514,                0.48984,                 1.3339,                0.83061,                 1.0663,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1804,                0.62946,                0.98611,                0.88234,                0.83321,                 0.9144,                0.51661,                 1.3156,                0.75921,                 1.0623,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1836,                 0.6357,                0.98191,                0.89233,                0.85185,                 0.9264,                0.53369,                  1.274,                0.71686,                 1.0618,               0.000713,               0.000713,               0.000713
                     68,                 1.1964,                0.63046,                 1.0186,                0.92837,                0.87037,                0.93081,                0.54474,                 1.2799,                0.72159,                 1.0597,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2143,                0.64176,                0.99448,                0.92837,                0.87037,                0.93081,                0.54474,                 1.2799,                0.72159,                 1.0597,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1046,                0.58703,                0.96459,                0.87494,                0.90692,                0.92996,                0.56215,                  1.269,                0.73143,                 1.0533,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1666,                0.61576,                 0.9659,                0.84365,                0.92593,                0.92502,                0.56381,                 1.2661,                0.68352,                 1.0436,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1825,                0.60284,                0.97749,                0.81818,                0.91674,                0.90473,                0.55667,                 1.2707,                0.66541,                 1.0262,               0.000614,               0.000614,               0.000614
                     73,                 1.1643,                0.61244,                0.98729,                0.81818,                0.91674,                0.90473,                0.55667,                 1.2707,                0.66541,                 1.0262,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1415,                0.63773,                0.97297,                 0.8045,                0.91451,                0.91118,                0.55983,                 1.2838,                 0.6747,                 1.0175,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1505,                0.62392,                0.97023,                0.85413,                0.88889,                0.92019,                0.56785,                 1.2818,                0.66468,                 1.0255,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1716,                0.60958,                0.99225,                0.89461,                0.94324,                0.94969,                0.55927,                 1.3189,                0.66347,                 1.0383,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1294,                0.58302,                0.95743,                0.89461,                0.94324,                0.94969,                0.55927,                 1.3189,                0.66347,                 1.0383,               0.000515,               0.000515,               0.000515
                     78,                 1.1375,                0.58655,                0.97443,                0.94579,                0.88889,                0.95134,                0.56806,                 1.3462,                0.69742,                 1.0497,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.088,                0.57005,                0.95665,                0.91977,                0.88889,                0.95113,                0.57518,                 1.3114,                0.70435,                 1.0473,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1739,                0.62795,                0.99334,                0.88381,                0.84524,                0.94246,                0.57599,                 1.3026,                0.68646,                  1.046,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1611,                0.60211,                0.97746,                0.88381,                0.84524,                0.94246,                0.57599,                 1.3026,                0.68646,                  1.046,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1055,                0.57812,                0.95693,                0.92474,                0.83333,                0.93525,                0.57252,                 1.3118,                0.69121,                 1.0509,               0.000416,               0.000416,               0.000416
                     83,                 1.1166,                0.61015,                0.96715,                0.92756,                0.83333,                0.93398,                0.57214,                 1.2998,                0.67926,                 1.0484,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1645,                0.60329,                0.98823,                 0.9569,                0.81481,                0.93523,                0.56915,                 1.2779,                0.66655,                 1.0446,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0934,                0.57599,                0.96486,                 0.9569,                0.81481,                0.93523,                0.56915,                 1.2779,                0.66655,                 1.0446,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0709,                0.55779,                0.97661,                0.97702,                0.85185,                0.94081,                0.57706,                 1.2834,                0.66191,                 1.0366,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0449,                0.54124,                0.95926,                0.97849,                0.85185,                0.94324,                0.58382,                 1.2866,                0.64975,                 1.0385,               0.000317,               0.000317,               0.000317
                     88,                 1.0698,                0.54391,                0.95053,                0.88976,                0.90741,                0.94371,                0.59769,                 1.2772,                0.66068,                 1.0372,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0529,                0.54616,                0.95205,                0.88976,                0.90741,                0.94371,                0.59769,                 1.2772,                0.66068,                 1.0372,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0297,                0.53269,                0.94309,                0.95747,                0.87037,                0.94816,                0.59904,                 1.2573,                0.64515,                 1.0346,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1032,                0.58801,                0.97607,                0.97903,                0.86476,                0.95158,                0.59305,                 1.2523,                0.62964,                 1.0359,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.079,                0.56923,                0.93661,                 0.9654,                0.85185,                0.95107,                0.59278,                 1.2573,                0.62151,                 1.0353,               0.000218,               0.000218,               0.000218
                     93,                 1.1167,                0.56374,                0.99551,                 0.9654,                0.85185,                0.95107,                0.59278,                 1.2573,                0.62151,                 1.0353,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1044,                0.54438,                0.97537,                0.95886,                0.86338,                0.95251,                0.60433,                 1.2542,                0.61028,                 1.0362,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0616,                0.53175,                0.96435,                0.95321,                0.87037,                0.95146,                0.60102,                 1.2594,                 0.6038,                 1.0378,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0591,                0.53442,                0.93986,                 0.9545,                0.87037,                0.95123,                0.60117,                 1.2656,                0.60364,                 1.0402,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0692,                0.54969,                0.96105,                 0.9545,                0.87037,                0.95123,                0.60117,                 1.2656,                0.60364,                 1.0402,               0.000119,               0.000119,               0.000119
                     98,                  1.118,                0.55532,                 1.0006,                0.95826,                0.85039,                0.95114,                0.60317,                 1.2728,                0.60648,                 1.0434,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0624,                 0.5351,                0.98131,                0.93805,                0.84129,                 0.9519,                0.60783,                 1.2667,                0.60292,                 1.0413,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0543,                0.51544,                 0.9571,                0.84423,                0.94444,                0.95177,                0.60875,                 1.2646,                0.60642,                 1.0433,               5.96e-05,               5.96e-05,               5.96e-05
